Date,Close,High,Low,Open,Volume
2022-01-10,168.81558227539062,169.1195047889858,164.87435832287932,165.76652857616685,106765600
2022-01-11,171.64891052246094,171.74694181889706,167.4724003083723,168.94300439273908,76138300
2022-01-12,172.09014892578125,173.70780800028308,171.3940711266009,172.66858314420182,74805200
2022-01-13,168.81558227539062,173.15876005827155,168.42341212900857,172.3352251905114,84505800
2022-01-14,169.6783447265625,170.37442243944997,167.73713612609606,167.9822368621362,80440800
2022-01-18,166.47238159179688,169.15867541780838,166.090025136866,168.14886183274072,90956700
2022-01-19,162.9723663330078,167.72732627847407,162.68805608048748,166.6684893743364,94815000
2022-01-20,161.2860565185547,166.3547371137795,160.96252180484768,163.70765259043753,91420500
2022-01-21,159.22723388671875,163.0704113462842,159.1193889725066,161.19783827212862,122848900
2022-01-24,158.45269775390625,159.11937944541725,151.6683120872291,156.88406222991276,162294600
2022-01-25,156.64877319335938,159.5703696285005,153.942866591661,155.86444788627315,115798400
2022-01-26,156.560546875,161.1684376714049,154.72719817611775,160.29587965880856,108275300
2022-01-27,156.09976196289062,160.6292188937634,155.17818077822113,159.26645936487785,121954600
2022-01-28,166.99203491210938,167.01164715968335,159.6096019553616,162.46257810702824,179935700
2022-01-31,171.35482788085938,171.57051772849903,166.1881001011021,166.82537099995082,115541600
